Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2017","2017","","116","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2018","2018","","121","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2019","2019","","124","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2020","2020","","128","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2021","2021","","141","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","22251.01","Cheese from whole cow milk","2022","2022","","143","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2012","2012","1000 USD","1709","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2013","2013","1000 USD","2919","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2014","2014","1000 USD","2908","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2015","2015","1000 USD","2578","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2016","2016","1000 USD","2780","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2017","2017","1000 USD","3368","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2018","2018","1000 USD","3309","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2019","2019","1000 USD","2546","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2020","2020","1000 USD","2503","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2021","2021","1000 USD","3165","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.03","Eggs, dried","2022","2022","1000 USD","4294","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2012","2012","1000 USD","5207","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2013","2013","1000 USD","3787","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2014","2014","1000 USD","3036","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2015","2015","1000 USD","3013","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2016","2016","1000 USD","2211","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2017","2017","1000 USD","1733","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2018","2018","1000 USD","1937","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2019","2019","1000 USD","2105","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2020","2020","1000 USD","1665","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2021","2021","1000 USD","1240","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.03","Eggs, dried","2022","2022","1000 USD","1249","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2012","2012","","117","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2013","2013","","146","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2014","2014","","116","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2015","2015","","102","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2016","2016","","81","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2017","2017","","77","E","Estimated value"
